name,kCal,carbs,sugar,cookTime,img
Roasted Cauliflower, 73, 7.0g, 5.0g,285,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-06/Snita%27s%20roasted%20cauliflower%5B1%5D.png?VersionId=mVDl69X8laGg4tmuf6EmRedhyyLe3GRt&itok=6utXdeZi
Tutti frutti frozen yogurt bark, 153, 14.5g, 14.0g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/Tutti%20fruiti%20bark.png?VersionId=eMQK2m5arpqwC4NQaSwnS5RIIC2vT_SV&itok=a3R9yEqc
Cauliflower stir fry, 228, 17.9g, 12.1g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-04/Cauliflower%20stir%20fry%20%282%29.jpg?VersionId=ndFUlcs6h9ptq9iYR0TLQD.rumwxCEai&itok=zDj4Irsu
"Zingy watermelon, tomato and pine nut salad", 127, 13.5g, 10.7g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/Watermelon%20salad.jpg?VersionId=VRG5nwF9MhP21EIIHj5V076BLQxFQpEQ&itok=6TVz1Rhu
Jerk chicken with chargrilled pineapple salsa, 378, 21.9g, 18.9g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/Jerk%20chicken%202.jpg?VersionId=Yt7n48vI4F.w.yXaWFSgc8vQSmQxAGff&itok=Grvkwban
Sweet winter chicken , 438, 40.6g, 20.7g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-01/Winter%20chicken%20edit.jpg?VersionId=iModnixEM2Qmai3sNXromdb0QX1WbgCu&itok=-C0-29Zf
Tandoori chicken and cauliflower with herby raita, 514, 35.9g, 17.4g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-01/Tandoori%20chicken1.jpg?VersionId=otyuJ3Jxzd_mwNqtdfXywnnXPkLCUUIe&itok=rGdLa97C
Breakfast eggs with avocado and black beans, 375, 24.1g, 5.1g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-12/Breakfast%20eggs%20with%20avocado%20and%20black%20beans.jpg?VersionId=otFAp0MNrHwoVGVd_q7BAOHYW6dl8mpU&itok=JsXCmEV-
Baked veggie breakfast, 259, 10.7g, 4.0g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-12/Veggie-breakfast-1000x600.jpg?VersionId=rjv4lzmFxyR8Z9K0KKzsrGLETaDqgpTv&itok=VVfS6QNd
Grilled chicken salad with avocado dressing, 349, 8.1g, 6.6g,28,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-06/Chicken%20salad%20%281%29_0.jpg?VersionId=wtPo2emdmxG0ee6RqJSvQJydJg0hdZRz&itok=TEH1XpVu
"Spinach, sweet potato and chickpea soup", 200, 26.5g, 8.0g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-11/Spinach%2C%20sweet%20potato%20and%20chickpea%20soup.jpg?VersionId=12XzymcMXZ4b67D5tUiRpsFqj.KjVPDG&itok=X_WHWZjd
Beetroot and carrot cake, 157, 27.5g, 15.1g,100,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-02/200713_DiabetesUK_BeetrootCarrotCake_01.jpg?VersionId=I_pLF8QGapn5ROVaLuvDMmI9sbgdG941&itok=HvtZbGlq
Aubergine ‘meatballs’ with tomato sauce and courgette, 260, 30.2g, 15.3g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-02/200713_DiabetesUK_AubergineMeatballsTomatoSauceCourgette_0.jpg?VersionId=xSCLZnehPZpR9oTtI9QBJQNurhCJuHQy&itok=Qa8UbCpt
"Haddock with salsa verde, broccoli and bean mash", 402, 20.4g, 6.3g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-02/200713_DiabetesUK_HaddockSalsaVerdeBeanMash_01%20copy.jpg?VersionId=gCFQ8yrBabGZBCexJTraRCxS.NwCmxhv&itok=1O7I3fJv
